,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
190,KimKardashian,Thu Jun 21 22:39:15 +0000 2018,How to take the perfect selfie. Happy #NationalSelfieDay! https://t.co/XHRAercIcQ,0.8268,0.524,0.0,0.476,10
191,KimKardashian,Thu Jun 21 22:38:15 +0000 2018,Thank you all for an AMAZING first year of @kkwbeauty 💋😍 https://t.co/lgaPZ3WHzZ,0.7925,0.413,0.0,0.587,9
192,KimKardashian,Thu Jun 21 21:04:35 +0000 2018,My guide to treat every under-eye problem https://t.co/C3qBXUdXQC,0.0,0.237,0.237,0.526,8
193,KimKardashian,Thu Jun 21 17:11:14 +0000 2018,Which of my sisters' hairstyles should you try? https://t.co/p2tRppNHgy,0.0,0.0,0.0,1.0,7
194,KimKardashian,Thu Jun 21 17:10:27 +0000 2018,RT @kkwbeauty: Free Powder Contour Brush with any in store purchase at the #KKWBEAUTY Pop-Up for the first 100 people. Today only! Details…,0.5562,0.14,0.0,0.86,6
195,KimKardashian,Thu Jun 21 15:56:50 +0000 2018,Thank you Paris for the emotional trip back! 🇫🇷 I couldn’t have come for a better reason....off to Teyana’s listeni… https://t.co/0oDAOFF8mA,0.7424,0.313,0.0,0.687,5
196,KimKardashian,Thu Jun 21 15:31:53 +0000 2018,"RT @kkwbeauty: Nude Lipsticks &amp; Lip Liners are back in stock TODAY at 12PM PST! To celebrate the 1 year anniversary of #KKWBEAUTY, we’re gi…",0.6114,0.148,0.0,0.852,4
197,KimKardashian,Thu Jun 21 15:13:38 +0000 2018,Congrats @virgilabloh on your history making @LouisVuitton Men’s Show! I’m wearing Virgil’s collection in these pic… https://t.co/jFDk3tqlEe,0.5707,0.187,0.0,0.813,3
198,KimKardashian,Thu Jun 21 14:25:14 +0000 2018,😍 https://t.co/snBUArSBcX,0.4588,0.429,0.0,0.571,2
199,KimKardashian,Thu Jun 21 14:21:15 +0000 2018,@KrysJenner I hate it! They will be gone as soon as I land back home 😂,-0.2714,0.154,0.239,0.607,1
200,realDonaldTrump,Wed Jun 27 23:14:58 +0000 2018,Just landed in North Dakota with @SenJohnHoeven and @RepKevinCramer. We will see everyone at Scheels Arena shortly! https://t.co/pakUigKB61,0.0,0.0,0.0,1.0,100
201,realDonaldTrump,Wed Jun 27 21:18:03 +0000 2018,"Today, it was my great honor to welcome President Marcelo Rebelo de Sousa of Portugal to the @WhiteHouse!🇺🇸🇵🇹 https://t.co/yd37K4Ei8R",0.8908,0.398,0.0,0.602,99
202,realDonaldTrump,Wed Jun 27 20:28:58 +0000 2018,Heading to North Dakota to fully stand with and endorse Kevin Cramer for Senate. He is an extraordinary Congressman… https://t.co/qMniRSctDT,0.3182,0.108,0.0,0.892,98
203,realDonaldTrump,Wed Jun 27 19:13:34 +0000 2018,Statement on Justice Anthony Kennedy. #SCOTUS https://t.co/8aWJ6fWemA,0.5267,0.362,0.0,0.638,97
204,realDonaldTrump,Wed Jun 27 17:33:03 +0000 2018,"Today, I was thrilled to join student leaders from Colleges and Universities across the country... https://t.co/OQp3NcOeE4",0.6249,0.282,0.0,0.718,96
205,realDonaldTrump,Wed Jun 27 15:26:24 +0000 2018,"Harley-Davidson should stay 100% in America, with the people that got you your success. I’ve done so much for you,… https://t.co/kNmruD0swh",0.5719,0.156,0.0,0.844,95
206,realDonaldTrump,Wed Jun 27 14:11:05 +0000 2018,"Supreme Court rules in favor of non-union workers who are now, as an example, able to support a candidate of his or… https://t.co/zZlPRIgB26",0.8402,0.321,0.0,0.679,94
207,realDonaldTrump,Wed Jun 27 12:39:56 +0000 2018,"HOUSE REPUBLICANS SHOULD PASS THE STRONG BUT FAIR IMMIGRATION BILL, KNOWN AS GOODLATTE II, IN THEIR AFTERNOON VOTE… https://t.co/7NPrGsNjNW",0.7626,0.279,0.0,0.721,93
208,realDonaldTrump,Wed Jun 27 11:18:02 +0000 2018,"Congratulations to Maxine Waters, whose crazy rants have made her, together with Nancy Pelosi, the unhinged FACE of… https://t.co/CusnE1izm7",0.0516,0.159,0.191,0.65,92
209,realDonaldTrump,Wed Jun 27 03:52:16 +0000 2018,Big and conclusive win by Mitt Romney. Congratulations! I look forward to working together - there is so much good… https://t.co/CqjLaLDkkc,0.8398,0.32,0.0,0.68,91
210,realDonaldTrump,Wed Jun 27 02:59:30 +0000 2018,The legendary Gary Player at Turnberry in Scotland! https://t.co/3oGoqWhhtA,0.0,0.0,0.0,1.0,90
211,realDonaldTrump,Wed Jun 27 02:54:46 +0000 2018,A great First Lady! https://t.co/Pt35aluI4C,0.6588,0.594,0.0,0.406,89
212,realDonaldTrump,Wed Jun 27 02:50:11 +0000 2018,RT @The_Trump_Train: @realDonaldTrump  https://t.co/9ubTCAyZkq,0.0,0.0,0.0,1.0,88
